window_idx,start_index,transition_structure_cosine,transition_structure_pearson,transition_delta_cosine,transition_delta_pearson,transfer_mse,transfer_mae,persistence_mse,persistence_mae,transfer_skill,random_mse,random_mae,random_skill,oracle_bc_fit_mse,retrieved_state_similarity,retrieved_window_idx,retrieved_mse,retrieved_mae,retrieved_skill
387,4644,-0.04961934207290229,-0.1167141355977477,-0.5423830160505825,-0.4561175215914221,0.04630567191939796,0.1660368157615988,0.05205476150738787,0.1692880864526144,0.11044310686494974,2.571387319098897,1.5801551498249646,-48.39773508968921,0.02038955767445374,0.8088598335821587,351.0,0.03561550789970376,0.1552991755368092,0.3158069143271547
388,4656,0.31031740512122663,0.3329569587885359,-0.5373054010607693,-0.48948293444874863,0.0439461229172754,0.17744361163573624,0.032284535061638635,0.14133045620331808,-0.3612128170150848,0.6997976731333014,0.8207549751398863,-20.675940873772102,0.0192617675720598,0.767207198105258,352.0,0.04613513936792925,0.1860461882899877,-0.4290166880163091
389,4668,0.7713869461607475,0.7904601006303354,-0.7266307334877848,-0.7283184314907656,0.06347606949781331,0.22061901517068344,0.05261825409168551,0.1652265546131103,-0.20635073499794254,3.8988230744110433,1.9664798471125116,-73.09639756608946,0.030416969254264896,0.7282344507350099,251.0,0.1602315605970929,0.3573470441665557,-2.0451706040625157
390,4680,0.7170170178903367,0.6961636401949435,-0.7796094764154891,-0.7565746324586543,0.04791687361537328,0.1854217333097646,0.06613881989326728,0.18831624829641957,0.27551060492612356,0.30695087081509254,0.520123653370071,-3.6410091881052624,0.03346921006727443,0.7060475082929438,252.0,2.0176592032164415,1.4014409402832182,-29.506428848783145
391,4692,0.41545882457369127,0.40222227805002214,-0.795508389602618,-0.7561399778393179,0.06005565241990926,0.20148577656592628,0.07182968474891788,0.20734441014022476,0.1639159683098288,0.3757943240934969,0.5505150753891901,-4.231741241898717,0.04286743486770944,0.5871398365859253,231.0,0.9894476059299587,0.9604240132273465,-12.774912271835703
392,4704,0.11886456751213474,0.1461650567951848,-0.8171591444677851,-0.7522431939114781,0.08718428230353231,0.24979318102319753,0.07204427466769706,0.20598928719297208,-0.21014865796995363,4.115264548154202,2.016096380368562,-56.12132667218577,0.04279474522478813,0.5698554469213972,204.0,2.2542680743975962,1.4846843392179336,-30.29003775519107
393,4716,-0.1709156829122608,-0.1494728672376713,-0.8197041514363926,-0.7305453077094125,0.0930674760819529,0.2630229074408287,0.07008743985221855,0.19814186778932735,-0.32787666774800805,3.839578347420386,1.9484750390182388,-53.782687961156114,0.029531821333615864,0.6325797352318313,363.0,0.43569595657563476,0.6011845129615204,-5.216462714208318
394,4728,-0.000576337522640423,-0.036005361445952296,-0.795003160642536,-0.7516750899264936,0.06520408210112995,0.2167084233917224,0.0678808511405866,0.19327008413416893,0.03943334525833886,8.898988384884719,2.9736236718704223,-130.09718330511518,0.046877332595733984,0.5973862597293079,296.0,0.7453380775870312,0.8292796362814382,-9.98009328202702
395,4740,0.1650739226769643,0.13600420051094403,-0.8538271073367047,-0.8296199477564117,0.07429091045424768,0.23716295265095386,0.06976286525793247,0.19886109801315455,-0.06490623886467084,4.896345169512465,2.1991460717781925,-69.18555145935207,0.050936211894035056,0.6557472803203065,319.0,0.11006130400399734,0.2804639376300442,-0.5776488479518505
396,4752,0.3068236882669952,0.3100008835226918,-0.3569645027922904,-0.40171186627501,0.0806011971611192,0.2424413451875931,0.06772777029031364,0.2017444241010255,-0.19007604732333405,0.11579363686493288,0.2939224653841358,-0.7096921450180027,0.06188815087579579,0.651027355999974,224.0,0.1057111144687982,0.2799163588666065,-0.560823780491662
