window_idx,start_index,coef_cosine_similarity,coef_pearson_similarity,transfer_mse,transfer_mae,random_mse,random_mae,persistence_mse,persistence_mae,transfer_skill,random_skill,retrieved_state_similarity,retrieved_mse,retrieved_mae,retrieved_skill
436,5232,0.8533620119131189,0.8451212934551577,0.22092688700967145,0.383496947432064,0.24087243931332802,0.41272405992483696,0.08410966981718832,0.21456208482208386,-1.6266526487365156,-1.8637900949660402,0.8605470875800878,1.0007269922587938,0.9330198267315021,-10.897882781300483
437,5244,0.8534008067469782,0.8440813457764997,0.161875043222125,0.3243045755158421,3.450818310180704,1.7286583130495767,0.06424912930329725,0.21440998181266355,-1.5194900690088824,-52.709962260976646,0.8154801939646764,0.06414275463791445,0.21389801113639453,0.0016556592522933844
438,5256,0.838545930080295,0.8267185496555691,0.1058973385461305,0.2706750686514047,0.3078791520624031,0.4588224067608428,0.12866479836093994,0.28355520576915055,0.17695173897479322,-1.3928778965534763,0.8661687253712567,0.12777801172870804,0.2888774595619697,0.006892224163319582
439,5268,0.9172826300155037,0.9108506383430427,0.1360564638027664,0.2985105937746714,10.064514157532628,3.1272250946889137,0.11100864826296748,0.2751051671031295,-0.22563841585083844,-89.66423485934972,0.8578149085436391,0.21837284080678118,0.38720954524522083,-0.9671696234826637
440,5280,0.8884527007631469,0.8799000672168756,0.12581452470558205,0.3001878675044576,0.1256623559747075,0.2903635539141332,0.10914035236563767,0.28412163069466795,-0.15277733650779535,-0.1513830883898788,0.8948885120171058,0.29493367729584363,0.4500458211989768,-1.7023339296887054
441,5292,0.8148895860474675,0.7994926668724431,0.13571672024125114,0.31356286943781897,0.13743350060838175,0.32029042519540807,0.13120170947303797,0.31231301029674946,-0.034412743449360406,-0.047497789170379834,0.839898418118605,1.8615313385447871,1.2960243455747646,-13.188316189030548
442,5304,0.8286075348320485,0.8161188412130586,0.13034717009331012,0.30670237566127473,6.130689370567076,2.4417019267271622,0.23617334133618817,0.3783570013034301,0.4480868613034379,-24.95843093840197,0.8314014371903449,0.7619213656463847,0.801468613383069,-2.226110793604789
443,5316,0.810933282704742,0.7985294590882308,0.1044082208177718,0.27882517153378483,0.7826393641550812,0.8116334323581595,0.14722765841623056,0.31407704005834114,0.29083827087301073,-4.31584467602184,0.8201540779525128,0.7625909420579987,0.8111617444419502,-4.179671742805697
444,5328,0.793751556643094,0.7816318115364401,0.10844716156326077,0.2810468146726894,5.797425926880951,2.3464349328183216,0.15163039134978704,0.31808977494470975,0.2847927081247813,-37.23393104293464,0.8369719930506538,2.975664214834692,1.6685573725592124,-18.62445779072291
445,5340,0.777564971926266,0.7663113787714881,0.10378084782352819,0.28374154052767914,0.10385601195544784,0.28130334315916783,0.20155664457764924,0.37066752964741884,0.48510331653419225,0.4847303983797093,0.8049475396784099,6.009663686324839,2.3972968085593256,-28.816251897414524
446,5352,0.836312578859905,0.8266924419335416,0.15937413335109277,0.3322372938074112,0.12547421808357187,0.30509108869771434,0.45989451649828933,0.588137868816802,0.6534550258076721,0.7271673969088548,0.8351880097215558,0.5246052097345484,0.6397340758595202,-0.14070768603412942
447,5364,0.9079222491045057,0.9027132786444708,0.2443739887548794,0.3883742089951787,11.145739425542581,3.2810527125735405,0.17742930578348762,0.34273041104917734,-0.377303414877149,-61.81791712099375,0.8298191218116159,0.5516961318480972,0.6075281406478621,-2.109385619314307
448,5376,0.9095316825287675,0.9055047625743589,0.30349146787389664,0.4567604416538312,1.8872369166958525,1.2719798492921952,0.19929685594800015,0.3844947400939383,-0.5228111172666094,-8.469476614263618,0.812250803389493,0.20183186907850792,0.3907319095323883,-0.0127197848578664
